Review,Sentiments,Aspects,Aspects With Value,Extra Tag
the canon software for raw images does not present you with a raw image at all  but the raw image after it has been processed by all the imageaffecting settings in the camera ,negative,software,software[-2],
what this plugin reveals is the truly stunning quality of the raw g3 hardware ,positive,g3,g3[+3],
without any tweaking at all  if the exposure is accurate  the colors are as realistic as ive ever seen produced by film  and this is a raw image ,positive,color,color[+3],
the adobe camera raw plugin shows once again that hardware is miles ahead of software ,positive,"g3, software","g3[+3], software[-2]",
what the g3 raw image software gives you is a fantasy world designed to please the uncritical ,negative,software,software[-2],
but at least youre starting with the most photorealistic images ive ever seen from a camera ,positive,image,image[+3],
i am stunned and amazed at the quality of the raw images i am getting from this g3  in conjunction with my professional flash system   and can easily put up with the cameras limitations  because ive never seen anything better within its resolution limits ,positive,image,image[+3],
i ve had this for 3 months now  and i am pleased with my decision ,positive,camera,camera[+2],[p]
this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well ,positive,camera,camera[+3],
battery life  the drawback to most digital cameras  to quote k reeves ,positive,life,life[+1],
manual functionality is excellent  downloading pictures is quick and a breeze  and the quality is astounding ,positive,"function, quality","function[+2], quality[+3]",
not perfect  yes  the viewfinder can get obstructed in instancesbut the lcd works well enough in those instances   not the cheapest 40 mp  but the best 40 mp ,positive,"viewfinder, lcd, camera","viewfinder[-1], lcd[+2], camera[+3]",
the service from the supplier was exceptional ,positive,service,service[+3],
having used it for more than a month  i can say that it consistently produces topnotch photos ,positive,photo,photo[+3],
by cocking the shutter to the halfway position and getting the settings ready to shoot  i was able to produce excellent stopaction photos  contrary to what other reviewers experienced ,positive,photo,photo[+3],
the camera is a dream to operate in automode  but also gives tremendous flexibility in aperture priority  shutter priority  and manual modes ,positive,"automode, mode","automode[+2], mode[+2]",
about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder ,negative,viewfinder,viewfinder[-2],
i can t write enough positive things about this great little camera ,positive,camera,camera[+3],
but canon never fails to amaze ,positive,canon,canon[+3],
1  the ability to selectively switch to raw format during record review gives you incredible more postprocessing flexibility ,positive,format,format[+2],
2  battery life is over 45 hours  compared to about 25 hours for the g2 or the 2 hours for most nikons ,positive,life,life[+1],
3  the remote capture and fileviewer software bundled for photo capture is mindblowing ,positive,software,software[+2],
4  the shape of this device is a little squarer  without losing the weight which means better balance and less shaking while clicking ,positive,shape,shape[+1],
the light autocorrection is awesome ,positive,correction,correction[+2],
you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right ,positive,picture,picture[+2],
8  perhaps inspired by the canon s factory whitecorrection settings  which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out   the g3 has much sharper white offsets ,positive,offset,offset[+2],
overall  the g3 delivers what must be considered the best image quality of any current  4 megapixel digicams  from a detail  tonal balance and color response point of view ,positive,g3,g3[+3],
this is quite simply the best you can ask for ,positive,camera,camera[+3],[p]
the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds ,negative,focus,focus[-2],
got way too many blurry pictures ,negative,picture,picture[-3],
4mp  4x optical zoom  takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras  easy to understand and use  has a great swivel lcd screen   a lot of features and addon options  comes with great software  not to be overlooked   and last but by far not least  received my fiance s stamp of approval  two thumbs up  ,positive,"photo, use, software","photo[+3], use[+3], software[+2]",
the powershot g3 is a great camera ,positive,camera,camera[+2],
because it can help a soso photographer take spectacular photos ,positive,photo,photo[+3],
4 megapixels is plenty for all but pros  and you will not be disappointed with the results of this camera ,positive,camera,camera[+2],
it s slightly lighter than the g2 and packed with even more features ,positive,feature,feature[+1],
the catch with the canon g3 camera   and perhaps all of digital cameras  is that its unresponsiveness will cause you to miss precious shots ,negative,unresponsiveness,unresponsiveness[-2],
it sometimes takes the picture at some indefinite period of time after you press the shutter button ,negative,delay,delay[-1],[u]
canon s g3 does it consistently ,negative,delay,delay[-2],[u]
it feels slow to focus  and unbearably slow to shoot ,negative,"focus, shoot","focus[-2], shoot[-2]",
unfortunately  this digital momentcapturing device called the g3 sometimes captures the moment after the one you wanted ,negative,g3,g3[-2],
this is my first digital camera and i could nt be happier ,positive,camera,camera[+3],
i love the quality of the pictures ,positive,quality,quality[+2],
they look fantastic ,positive,quality,quality[+2],[p]
the canon g3 is perhaps the best 4mp camera out there ,positive,camera,camera[+2],
with canon  you get pictures that appear to be photos  not still camcorder shots ,positive,picture,picture[+2],
i love the eos based controls and easy menus ,positive,"control, menu","control[+2], menu[+2]",
1  the included lens cap is very loose on the camera ,negative,cap,cap[-2],
2  the body construction  buttons  casing  etc  are too plastic ,negative,body,body[-2],
it had a heavier and more sturdy casing ,negative,casing,casing[-2],
i bought it for my trip to beunos aires  and also used it at the iguazu falls  and could not have asked for more perfect performance ,positive,performance,performance[+3],[p]
this camera is worth every penny  and i highly recommend it ,positive,camera,camera[+3],
another point of note  the battery life is incredible ,positive,life,life[+3],
am i ever glad that i decided on this camera ,positive,camera,camera[+2],
i ve only had it a week  but so far  everything about this camera is making me happy ,positive,camera,camera[+2],
very intuitive menus are a big plus on this camera ,positive,menu,menu[+2],
the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging ,positive,battery,battery[+2],
the optical zoom is awesome  and the viewfinder reflects the settings of the zoom ,positive,"zoom, viewfinder","zoom[+3], viewfinder[+1]",
one little minor flaw with this camera is that the lens is visible in the viewfinder  but does not detract from the image at all ,negative,viewfinder,viewfinder[-2],
the best 4 megapixel4x optical zoom camera available and fairly easy to use ,positive,camera,camera[+3],
because this camera is beautiful ,positive,camera,camera[+3],
the g3 looks like a work of art ,positive,look,look[+3],
its silver magnesium finish is stunning  and the sharp lines and excellent grip are better than any other camera i ve seen ,positive,finish,finish[+3],
i am very pleased with it so far ,positive,camera,camera[+2],[p]
you can see the lens barrel in the viewfinder ,negative,viewfinder,viewfinder[-2],
 i knew this before hand  and it is not that bad  there is no tiff format ,negative,format,format[-2],
it seems to me that after the focus and metering are complete there is quite a lag before the shutter ,negative,lag,lag[-2],
it is very simple to import via iphoto 2 and then move them to photoshop ,positive,import,import[+2],
i am quite happy with the camera ,positive,camera,camera[+2],
it comes with a clearly written manual and the learning curve is not too too steep ,positive,manual,manual[+2],
yes  i recommend it over the competition ,positive,camera,camera[+2],[p]
best camera ever  from the image quality  color  function  i can say almost everything ,positive,camera,camera[+3],
this camera has a cool stitch pictures feature  to find out more just log on to canon s website ,positive,picture,picture[+2],
first and foremost  it will take better pic s than most film camera s ,positive,picture,picture[+2],
this camera has none of these flaws and will be something you ll use all the time ,positive,camera,camera[+2],
however  for a  600   800 budget  i think this camera is an excellent choice ,positive,camera,camera[+3],
it has a beautiful design  lots of features  very easy to use  very configurable and customizable  and the battery duration is amazing ,positive,"design, feature, use, battery","design[+2], feature[+2], use[+1], battery[+2]",[u]
also  the display is  hinged  and it can be placed in a myriad of positions  or to protect it against any damage ,positive,display,display[+2],
one bad thing is that it comes with a pitiful 32mb compactflash card  and for most purposes  it is not enough ,negative,compactflash,compactflash[-2],
another good thing is that this camera seems to introduce much less noise in dark places than others i ve seen ,positive,noise,noise[+2],
i have owned this camera for a short time and would nt give it up for anything ,positive,camera,camera[+2],
it surpasses my greatest expectations in a 4mp camera ,positive,camera,camera[+2],
in general it is easy to use and well laid out ,positive,"use, design","use[+1], design[+1]","[u], [u]"
it makes up for this by being extremely easy to use with well laid out controls that can be learned quickly ,positive,"use, control","use[+3], control[+2]",
the g3 has most if not all of the features that you would want from a semipro  pro slr with a good range of manual options for those who know something about photography ,positive,feature,feature[+2],
in the hands of someone who does nt  it will yield good results on idiot program  auto mode ,positive,mode,mode[+1],
the included memory card is too small ,negative,card,card[-2],
it is made of plastic ,negative,made,made[-2],
the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot ,negative,lens,lens[-1],
while light  it will not easily go in small handbags or pockets ,negative,size,size[-1],[u]
the function lever  the one which switches between capture and view mode feels fragile ,negative,lever,lever[-1],
flash  as with all builtin flashes in small cameras  you get overilluminated main subjects with depth being lost ,negative,flash,flash[-1],
the strap is horrible and gets in the way of parts of the camera you need access to ,negative,strap,strap[-2],
the functionality on this camera is mindblowing ,positive,camera,camera[+2],
canon have packed a lot in here and the options and controls are easy to use and logically laid out ,positive,control,control[+1],
learning how to use it will not take very long ,positive,learning,learning[+1],
the image quality is excellent ,positive,quality,quality[+3],
range of functions  as indicated above  it has something for everyone  point and shoot power plus advanced functions for those who are serious about photography ,positive,function,function[+1],
this is by far the finest camera in its price and category i have ever used ,positive,camera,camera[+2],
the macro works great for medical photographs and the auto mode is terrific for point and shoot ,positive,"macro, mode","macro[+2], mode[+2]",
this camera is closest to perfect than any other digicam that is 45 megapixel ,positive,camera,camera[+2],
i m glad canon decided to keep the 4mp resolution and improved upon it with new technology ,positive,resolution,resolution[+1],
yes there is a corner lens barrel distortion  i do nt like it too but no harm done since i always use the camea lcd screen to see exactly what i m going to get  in the viewfinder when you do nt zoom  when you zoom the lens distortion goes away   canon knows this and engineered it that way to minimize the parallax phenomenon  that is what lmost exactly ot the picture ,negative,distortion,distortion[-1],[u]
in terms of the shots taken  this camera is insanely great ,positive,shot,shot[+2],
the pictures are fabulous and their is a  short  learning curve to it  there are tons of features i have nt even gotten to ,positive,"picture, curve","picture[+3], curve[+1]",
i ve been pleased with the picture quality and durability in snow  car  boat and wind ,positive,quality,quality[+2],
the camera s a work of art  science  that s understood ,positive,camera,camera[+2],
it takes great pictures  operates quickly  and feels solid ,positive,"picture, feel","picture[+2], feel[+1]",[u]
to address two previous somewhat negative reviews   1  yes  the lens barrel does obstruct part of the lower left corner in the lens viewfinder  however  the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder ,negative,viewfinder,viewfinder[-2],
this camera has a major design flaw ,negative,design,design[-3],
when you look through the viewfinder  not the lcd  the bottom left corner of the picture  about 15   is blocked by the lens ,negative,viewfinder,viewfinder[-2],
everything else about the camera is great ,positive,camera,camera[+2],
if you strictly use the lcd and not the view finder  i highly recommend the camera ,positive,camera,camera[+2],
and so far  i ve been very pleased ,positive,camera,camera[+3],[u]
the larger lens of the g3 gives better picture quality in low light  and the 4times optical zooms gets you just that much closer ,positive,"lens, zoom","lens[+2], zoom[+1]",
the moveable lcd screen is great ,positive,lcd,lcd[+2],
the tiny  postagestamp sized  remote unit is wonderful  not only does it trigger the shutter  it can also be used to zoom and review pictures ,positive,remote,remote[+2],
the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit ,positive,flash,flash[+1],
i needed three batteries to keep myself going with the s330  but the battery in the g3 is a real powerhouse ,positive,battery,battery[+2],
the g3 has a different type of battery charging system from the smaller canon cameras  the battery needs to be charged while in the camera  but the charging system also enables you to use the camera while plugged in without running down the battery ,positive,system,system[+1],
i have yet to try using all of the adjustment options  shutter priority  aperature priority  light metering adjustments  etc  but all controls are well thought out and and the manual is relatively clear ,positive,manual,manual[+1],
i ve been bothered by blownout highlights on the s330  and the g3 seems to do only slightly better ,negative,highlight,highlight[-1],
the onoff button feels somewhat flimsy  and has an awkward  tiny little lockout button that needs to be depressed to turn on the camera ,negative,button,button[-2],
and the body  construction in general has quite a bit of plastic  a disappointment after the stainless steel heft of the s330 ,negative,body,body[-2],
i was worried that 4 megapixel photos would download more slowly  but there s no difference in working with the files ,positive,download,download[+1],
i ve now had the camera for two months and i m even more pleased with it ,positive,camera,camera[+3],
very comfortable camera  easy to use  and the best digital photos you re going to get at this price ,positive,"camera, use, photo","camera[+3], use[+1], photo[+3]",
i ve been using the g3 for about six weeks and it has proven itself to be all that it s advertised ,positive,g3,g3[+2],
allinall  i believe this is arguably the best nonslr digital camera on the market ,positive,camera,camera[+3],
canon s optics are better and i believe their processing algorithms are also better ,positive,optic,optic[+2],
simply  the canon g3 is the best digital camera out there today at this price point ,positive,camera,camera[+3],
the battery life of this camera is twice that of the nikon 5000 and is better than anything else i ve seen ,positive,life,life[+2],
the only minor nits i have with the camera are it is fairly boxy looking  it needs a wrist strap instead of a neck strap  and it is a bit slow between shots ,negative,look,look[-2],
even with these shortcomings  i still think it is the best digital camera available under  1200 ,positive,camera,camera[+3],
definetely a great camera ,positive,camera,camera[+3],
proven canon built quality and lens ,positive,"quality, lens","quality[+2], lens[+2]",
feels solid in hand ,positive,feel,feel[+2],
rather heavy for point and shoot but a great camera for semi pros ,positive,"weight, camera","weight[-1], camera[+2]",
while  there are flaws with the machine  the xtra gets five stars because of its affordability ,positive,affordability,affordability[+3],
it is the most bangforthebuck out there ,positive,buck,buck[+3],[u]
like it s predecessor  the quickly revised nx  this player boasts a decent size and weight  a relativelyintuitive navigational system that categorizes based on id3 tags  and excellent sound  widely known to be better than ipod  not surprising considering the number of years creative has been in the audio peripheral business  ,positive,"size, weight, system, sound","size[+2], weight[+2], system[+2], sound[+3]",
the xtra improves upon the zen nx with a larger  nowblue backlit screen  which is infinitely better ,positive,screen,screen[+3],
i chose this one because from what i read  it was the best deal for the money ,positive,deal,deal[+3],
another reason i got it is because you can put wma files on it ,positive,file,file[+2],
the software is great ,positive,software,software[+2],
transfering is easy  the software makes everythig pretty easy ,positive,software,software[+2],
even the battery life is great  it advertises 14 hours  it s actually a little less but still good ,positive,life,life[+2],
only 1 problem  no accessories  yet ,negative,accessory,accessory[-1],
i hope it s because it s new and they are not out yet  but being without a remote is hard ,negative,remote,remote[-2],
they player s interface itself is also very easy to use ,positive,interface,interface[+2],
get it  it s woth every penny  ,positive,player,player[+3],[p]
i ve had it for a week now  do nt regret the purchase one bit  and i never leave home without it ,positive,player,player[+3],[p]
software is easy to use  although redhat software is better  but costs money ,positive,software,software[+2],
much cheaper than ipod good looking player  beautiful blue backlit screen  if you ve read about the player  some have complained about the lack of a viewing hole for the face when the case is on  but this is good because the face does nt get damaged  scratched fast transfer rate,positive,price,price[+2],
you re going to need to buy new headphones  the stock ones suck,negative,headphone,headphone[-3],
the zen xtra sounds great with good headphone and well recored mp3s ,positive,sound,sound[+2],
navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well ,negative,navigation,navigation[-1],
at 8 ounces it is pretty light but not as light as the ipod ,positive,weight,weight[+2],
the battery is replaceable  a real plus  and there is a leather case  another real plus  ,positive,"battery, case","battery[+2], case[+2]",
so far the software for the pc works easily ,positive,software,software[+2],
by the way  it looks nice also ,positive,looking,looking[+2],
it s worth it ,positive,player,player[+3],[p]
my two main requirements were longer battery life and lower price  i found both ,positive,"life, price","life[+2], price[+2]",
the sound is excellent  but a tip  get a real pair of headphones ,positive,"sound, headphone","sound[+3], headphone[-2]",
the controls are on the side instead of on the front  which i like  because that s where my thumb is when i hold the thing ,positive,control,control[+2],
the scroll wheel is a big improvement over the ipod touchpad ,positive,wheel,wheel[+2],
it could be a little bit bigger  but it s easy to get used to ,negative,size,size[-1],
the screen may be a little smaller  but it is very readable and does nt come in the overused blue ,negative,screen,screen[-1],
it does nt have firewire  not a real complaint since most windows users do nt generally have firewire cards themselves ,negative,firewire,firewire[-1],
the included leather pouch is a big plus  it actually protects the unit well  something a lot of  carrying cases  fail to do with other audio devices ,positive,pouch,pouch[+3],
other plusses  changable battery  loads of presets for environments  decent construction  still quite small and light despite being slightly bigger than an ipod ,positive,"battery, construction, size, weight","battery[+2], construction[+2], size[+2], weight[+2]",
overall  small  sounds great  and less expensive than apple s overpriced ipod ,positive,"size, sound, price","size[+1], sound[+2], price[+2]",[u]
 batteries last longer too  ,positive,battery,battery[+2],
the creative labs zen xtra has all the features the ipod has and if you get if from amazon your only going to pay  300 for this great player ,positive,price,price[+3],
i ve had it for about 2 weeks and it s the best player i ve seen  and used  ever ,positive,player,player[+3],
the music is easy to get to  all of the menus are easy to understand despite what alot of ipod owners say  and if you know how to search for an artist by name online  then you can do the same with the zen ,positive,menu,menu[+2],
the screen is very easy to read and the blue light is bright enough to read at night  but dim enough so it does nt blind you when you stare too long ,positive,screen,screen[+2],
all in all this a great player that blows the ipod away  with easy to use and understand features  software that is simple to understand and use  and a great sound  which is all that matters in a mp3 player  ,positive,"player, use, software, sound","player[+3], use[+3], software[+2], sound[+3]",
it s a very intuitive program ,positive,program,program[+3],
i had no problems following their installation instructions ,positive,installation,installation[+2],
the menus are very easy to navigate ,positive,menu,menu[+3],
the only complaint i have is that when you push in the scroll wheel to select  you have to push straight in or it sticks ,negative,wheel,wheel[-1],
the other controls are all very easy to use ,positive,control,control[+3],
it has several play options  one of the best is an option to shuffle  based on all or a certain playlist ,positive,option,option[+1],
the only downside i see is that it does nt look like you can manage playlists from the nomad  it has to be done from the computer ,negative,playlist,playlist[-1],
it also costs a lot less than the ipod ,positive,price,price[+2],[u]
the earbuds that come with it are nt that bad ,positive,earbud,earbud[+1],
they re pretty comfortable  stay in place and deliver a decent audio quality ,positive,earbud,earbud[+2],[p]
this is a good deal for music and data storage ,positive,deal,deal[+2],
the main problem with the nomad jukebox zen xtra 30 gb is the software ,negative,software,software[-2],
the interface software itself  which should be userfriendly  was anything but easytouse ,negative,software,software[-2],
the player itself has all sorts of problems ,negative,player,player[-2],
the faceplate  which pops out for the battery  pops open by itself every 10 minutes or so ,negative,plate,plate[-1],
the player hangs up on file transfer every onceinawhile  prompting a reset ,negative,transfer,transfer[-1],
the scroll button is overly sensitive at times  not sensitive enough at others ,negative,scroll,scroll[-1],
depressing the scroll button  for selecting  is not always responsive ,negative,scroll,scroll[-1],
the scroll bar problems make the task of creating playlists more frustrating ,negative,scroll,scroll[-1],
on the positive side  the sound of the player is pretty good  once you have everything configured ,positive,sound,sound[+2],
i have nt had time to really push this player to the limit  but audio aspects on the nomad are satisfactory  as should be expected from creative labs ,positive,audio,audio[+2],
overall  a very disappointing product ,negative,player,player[-3],
the setup process for the nomad is infuriating  and the interface with the player is subpar ,negative,"setup, interface","setup[-3], interface[-3]",
the player s mechanics are also flawed ,negative,player,player[-2],
although the soundquality is good  it takes more than good sound on a portablemp 3 player to result in a good product ,negative,player,player[-2],
when it came down to it  the price on this player is hard to beat ,positive,price,price[+2],
one beef is the scroll  it does nt work as well as i d like ,negative,scroll,scroll[-1],
other than that this thing is great ,positive,thing,thing[+3],
zennx s replaceable battery was the deciding factor in my purchase of zennx over ipod ,positive,battery,battery[+2],
the zennx will keep running for the price of a replacement battery  just like any other batterypowered appliance ,positive,battery,battery[+2],
deficiencies with zennx are easily overcome with 3rdparty earphones   20   and software   25 ,negative,"earphone, software","earphone[-1], software[-1]",
the bluescreen display in the zennx xtra model is an improvement  but the toggle switch is still tricky ,neutral,"screen, switch","screen[+2], switch[-2]",
i love my new nomad  its great ,positive,nomad,nomad[+3],
for some this might be a problem  but for the price of a 30 gig ipod  you can get a 60gb nomad  the ipod simply pales in comparison ,positive,price,price[+3],
the software is very easy to use  and within 30 minutes of opening my box  i was out and about listening to any one of my 80 cds ,positive,software,software[+3],
the free  i didnt know they still did that  carrying case is really protective  and to me its the only accessory you need  except good headphones  ,positive,case,case[+2],
on the subject of headphones  this thing seems like a normal mp3 player when you use the headphones they give you in the box  but invest 30 dollars in a nice pair and the sound quality goes up through the roof ,positive,"headphone, sound","headphone[-1], sound[+3]",
but if you want a great deal and a great mp3 player  get the nomad ,positive,"deal, player","deal[+3], player[+3]",
best electronic i ve bought since i was born ,positive,player,player[+3],[u]
so easy to set up  had some problems with my archos ,positive,up,up[+3],
just easily drag and drop files into the nomad explorer and from there you easily alter id tags and sort your music according to your liking  by artist  song title  genre  etc,positive,explorer,explorer[+2],
not only is it functional and runs super smooth  fast  but it is also eye candy ,positive,"player, look","player[+3], look[+2]","[p], [u]"
very sleek  stylish as well as the screen options and visuals it has ,positive,design,design[+3],[u]
the leather case it comes with is pretty nice  similar to a pda style case and does hold and protect it perfectly ,positive,case,case[+2],
all the buttons  neccessary lil  gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand ,positive,button,button[+2],
the sound quality is also nice  after i hooked up my sony headphones instead of those factory earbuds it comes with ,positive,quality,quality[+2],
lots of sound options  has an equalizer almost like winamp with the options ,positive,option,option[+1],
navigation is so smooth and finding files is a cinch ,positive,navigation,navigation[+3],
also navigating while playing music is a plus unlike my previous player ,positive,navigation,navigation[+2],
oh  and the screen saver feature is pretty sweet   ,positive,saver,saver[+2],
another plus in my book  no file limits ,positive,limit,limit[+2],
i have over 2000 files in my playlist at the moment and the random does a nice job mixing it up ,positive,playlist,playlist[+2],
i am quite happy having over 10 gigs of music stored on this baby as well as a few gigs of media files in the data folder ,positive,storage,storage[+2],[u]
i really have no complaints over this unit ,positive,player,player[+2],[u]
i really do recommend this to anyone in need of a new player ,positive,player,player[+3],
getting the program to install properly has been a living hell experience ,negative,installation,installation[-3],
also  the instruction manual is very bad ,negative,manual,manual[-3],
i have no complaints with this mp3 player ,positive,player,player[+2],
getting files onto it is quick and painless ,positive,transfer,transfer[+2],[u]
then sorting the files is easy as pie ,positive,sorting,sorting[+2],
and it holds sooooo much music and audio files ,positive,storage,storage[+3],[u]
my music demands are pretty intense and this handles those demands without problems ,positive,player,player[+2],[p]
also  the sound is wonderful  my only gripe were those aweful earphones that this came with ,neutral,"sound, earphone","sound[+3], earphone[-3]",
the battery is nice ,positive,battery,battery[+2],
the lcd screen was very large and readable ,positive,screen,screen[+3],
compared to everything else in this category  this is most definately the best bang for the buck ,positive,player,player[+3],
i gave the zen 5 stars because it s excellent for the class that it is in and it s not really appropriate to rate it based on players in a different class ,positive,zen,zen[+3],
transfering  i could not get my songs to completely transfer via usb 11 or 20 ,negative,transfer,transfer[-2],
it would only transfer 30 or so songs  and then come up with an error ,negative,transfer,transfer[-2],
scroll button  the scroll wheel was a nice idea to keep less clutter  but the button would sometimes get stuck or keep scrolling ,negative,wheel,wheel[-2],
size  bigger than the ipod,negative,size,size[-1],
software  music match jukebox is nt the greatest  the search funtion is nt fast even when accessing it with the hotkey shortcut ,negative,software,software[-1],
sound quality was the same between the two  but the zen did have more sound adjustments with the normal eax features ,positive,quality,quality[+1],
i love this player ,positive,player,player[+3],
all i have to say is that i did freeze on me once  but it has nt done it since ,negative,player,player[-1],[p]
i love this player and would probably go with creative labs again ,positive,player,player[+3],
the software was great  as long as you have an adminstrative user account  windows xp  ,positive,software,software[+2],
anyway  this player is a great deal and i really love it ,positive,player,player[+3],
first  the cons  a tad bulky  not the most asthetic looking player  and does nt support a folder stucture ,negative,"size, weight, look, structure","size[-2], weight[-2], look[-1], structure[-1]","[u], [u]"
way less expensive than the ipod ,positive,price,price[+2],[u]
i find it pretty easy to use  and unlike the remote interface for the audigy 2 nx  on the pc   ,positive,interface,interface[+2],
the cons are nt really a big deal to me  except one con that does annoy me is the way it stores files  no folder structure  and it s based on the title of the songs  many of my songs where seperated into folders  on the pc   and a few had same titles  so i had to change the titles to make sure that i did nt have any that might be the same as another ,negative,structure,structure[-2],
and man  i had to work to put my chinese songs on the player  because i had the actual chinese names of the songs as the title ,negative,name,name[-2],
not counting the time i spent editing the songs  i suppose i should ve done it anyway on my pc  the transfer was pretty painless ,positive,transfer,transfer[+2],
bought the 30gb xtra a couple of weeks ago  and so far it has been excellent ,positive,xtra,xtra[+3],[u]
i still have over 19gb left  and already have over 200 cd s on it ,positive,storage,storage[+2],[u]
both are very easy to learn  use  and intuitive enough for even a novice ,positive,"interface, software","interface[+3], software[+3]","[p], [p]"
ripping  transferring tunes is basic  and pretty fast  even on a 11 usb  ,positive,transfer,transfer[+2],
people also have complained about the case not having a window  but that s not really a big deal to me either  the case is sturdy and offers very good protection ,positive,case,case[+2],
it s easy enough to pop it open to see what song you re listening to ,positive,case,case[+2],[p]
the sound quality is excellent  and i m fussy with that stuff   the unit looks cool  screen is bright and easy to read  and the replaceable battery means a major advantage over the ipod  besides the price  but everyone knows that  ,positive,"quality, look, screen, battery","quality[+2], look[+3], screen[+2], battery[+3]",
you of course have some good customization options with the unit as well  sound presets  navigating options  playlists  etc  ,positive,option,option[+2],
the only thing i m concerned about is the quality  longevity of the buttons on the thing ,negative,button,button[-1],
my  fast forward  button works  but it takes a little extra pressure on it to make it go ,negative,button,button[-1],
all other buttons are pretty sensitive to touch and work well ,positive,button,button[+1],
but i ve already emailed creative tech support about it  and gotten timely responses  they will fix it for me if necessary  ,positive,support,support[+2],
sure  it s a little bigger than the ipod  but not by much ,negative,size,size[-1],
it still fits in the palm of your hand  and it s not heavy ,positive,"size, weight","size[+1], weight[+1]",[u]
bottom line  great product  unbeatable price ,positive,"product, price","product[+2], price[+3]",[u]
unlike my 3 other mp3 players  this thing will only work properly if you have id3 tags on all of your tracks ,negative,tag,tag[-3],
if you do nt have tags  it ll lump all of your tracks into the same directory and they cannot be searched via artist or album as the zen does not recognize folders ,negative,tag,tag[-3],
i just received my 40gb zen xtra yesterday and i m extremely pleased with it ,positive,player,player[+3],[u]
the setup and transfer process was cake for me ,positive,"setup, transfer","setup[2], transfer[+2]",
i did have to put a little work into renaming some duplicate file names to get all my music on my zen xtra but it was nt a big problem ,negative,transfer,transfer[-1],[u]
the explorer program did shut down a couple times while i was renaming titles and changing genres but i did nt have to reboot the computer or anything  just open up explorer again ,negative,explorer,explorer[-1],
the unit itself did lock up a few times and i had to hit the reset button but that was a fairly painless process as well ,negative,player,player[-1],
now that i have all my music on it there has nt been any more problems ,positive,player,player[+1],
the screen is large and bright and has all the info i need where i need it ,positive,screen,screen[+2],
the eax mode that keeps the volume at the same level for any song will come in handy when i take my holiday plane rides ,positive,mode,mode[+2],
the little jog dial seems weak and quirky and i hope i do nt figure out a way to break it ,negative,dial,dial[-2],
all in all though i m very happy with my new mp3 player ,positive,player,player[+3],
i purchased the nomad jukebox zen xtra 40gb and it is fantastic ,positive,nomad,nomad[+3],
i have windows xp pro and when installing the enclosed software i did receive a message that there was a problem installing the driver ,negative,installation,installation[-1],
i found using the supplied mediasource software very easy ,positive,software,software[+3],
ripping your songs and creating playlists could nt be any easier ,positive,playlist,playlist[+2],
i found using mediasource to load your songs to the nomad jukebox to be much easier and faster than using windows explorer ,positive,mediasource,mediasource[+2],
being a creative product the playback quality is unbeatable ,positive,quality,quality[+3],
when i played back a symphony orchestra you would swear that you were seated dead center in front of the orchestra  it s that good ,positive,sound,sound[+3],[u]
the sound quality with jazz and pop music is equally superior ,positive,quality,quality[+3],
actually using the nomad jukebox is easy and uncomplicated ,positive,nomad,nomad[+2],
finding a particular song  s  or album on the nomad jukebox is fast and easy ,positive,finding,finding[+2],
the high resolution screen is easy to read and has a backlight ,positive,screen,screen[+2],
i can highly recommend this product because of its ease of use  hardware and software   playback quality and value for the price ,positive,"use, quality, price","use[+3], quality[+3], price[+2]",
just bought one  i ve enjoyed it to date ,positive,player,player[+2],[p]
nice palm sized unit  somewhat bigger then the ipod but not an issue if you re not going to try  jog with it or something ,positive,size,size[+1],
all reviews i ve seen seem to indicate that the creative mp3 jukeboxes have the best sound quality of these 2nd generation jukeboxed  ipod  archos  dell  samsung  ,positive,quality,quality[+2],
the eax settings are somewhat superfluous but not really a negative ,positive,eax,eax[+1],
i ve tried the belkin fm transmitter unit with it  it worked well when i set it on top of a portable radio  but was awful trying to use in the car which is somewhat of a disappointment ,negative,player,player[-1],
 the controls are much inferior to the simple ipod ones ,negative,control,control[-2],
the black fly wheel feels pretty cheap  is uncomfortable to use ,negative,wheel,wheel[-3],
the locations of various buttons on one side or the other is somewhat illogical,negative,button,button[-2],
 included creative software is pretty poor ,negative,software,software[-2],
 great value 40gb vs 10 gb ipod for the price,positive,price,price[+2],
 best in class sound,positive,sound,sound[+3],
 large easy readable screen,positive,screen,screen[+2],
i tried to play the song three times  with no success ,negative,play,play[-3],
it would either not play the song at all  or skip wildly  no matter that the unit was resting on my desk ,negative,play,play[-3],
had there been strange noises  or obvious defects  i would have accepted a replacement  but this is clearly from a defective and inferior operating system and i for one do not intend on waiting for patches ,negative,software,software[-3],
